Well,Bacteria,Phage,Dil,Status
A1,2-P2-T15-1,None,None,None
B1,2-P2-T15-1,2811,0.1,Anc
C1,2-P2-T15-1,2811,0.05,Anc
D1,2-P2-T15-1,2811,0.025,Anc
E1,2-P2-T15-1,2811,0.0125,Anc
F1,2-P2-T15-1,2811,0.00625,Anc
G1,2-P2-T15-1,2811,0.003125,Anc
H1,2-P2-T15-1,2811,0.0015625,Anc
A2,2-P2-T15-1,None,None,None
B2,2-P2-T15-1,2811,0.1,Anc
C2,2-P2-T15-1,2811,0.05,Anc
D2,2-P2-T15-1,2811,0.025,Anc
E2,2-P2-T15-1,2811,0.0125,Anc
F2,2-P2-T15-1,2811,0.00625,Anc
G2,2-P2-T15-1,2811,0.003125,Anc
H2,2-P2-T15-1,2811,0.0015625,Anc
A3,2-P2-T15-1,None,None,None
B3,2-P2-T15-1,2811,0.1,Anc
C3,2-P2-T15-1,2811,0.05,Anc
D3,2-P2-T15-1,2811,0.025,Anc
E3,2-P2-T15-1,2811,0.0125,Anc
F3,2-P2-T15-1,2811,0.00625,Anc
G3,2-P2-T15-1,2811,0.003125,Anc
H3,2-P2-T15-1,2811,0.0015625,Anc
A4,2-P2-T15-1,None,None,None
B4,2-P2-T15-1,2811,0.1,Anc
C4,2-P2-T15-1,2811,0.05,Anc
D4,2-P2-T15-1,2811,0.025,Anc
E4,2-P2-T15-1,2811,0.0125,Anc
F4,2-P2-T15-1,2811,0.00625,Anc
G4,2-P2-T15-1,2811,0.003125,Anc
H4,2-P2-T15-1,2811,0.0015625,Anc
A5,Blank,Blank,Blank,Blank
B5,2-P2-T15-1,2811,0.1,Anc
C5,2-P2-T15-1,2811,0.05,Anc
D5,2-P2-T15-1,2811,0.025,Anc
E5,2-P2-T15-1,2811,0.0125,Anc
F5,2-P2-T15-1,2811,0.00625,Anc
G5,2-P2-T15-1,2811,0.003125,Anc
H5,2-P2-T15-1,2811,0.0015625,Anc
A6,Blank,Blank,Blank,Blank
B6,2-P2-T15-1,2811,0.1,Anc
C6,2-P2-T15-1,2811,0.05,Anc
D6,2-P2-T15-1,2811,0.025,Anc
E6,2-P2-T15-1,2811,0.0125,Anc
F6,2-P2-T15-1,2811,0.00625,Anc
G6,2-P2-T15-1,2811,0.003125,Anc
H6,2-P2-T15-1,2811,0.0015625,Anc
A7,Blank,Blank,Blank,Blank
B7,2-P2-T15-1,2811,0.1,Anc
C7,2-P2-T15-1,2811,0.05,Anc
D7,2-P2-T15-1,2811,0.025,Anc
E7,2-P2-T15-1,2811,0.0125,Anc
F7,2-P2-T15-1,2811,0.00625,Anc
G7,2-P2-T15-1,2811,0.003125,Anc
H7,2-P2-T15-1,2811,0.0015625,Anc
A8,Blank,Blank,Blank,Blank
B8,2-P2-T15-1,2811,0.1,Anc
C8,2-P2-T15-1,2811,0.05,Anc
D8,2-P2-T15-1,2811,0.025,Anc
E8,2-P2-T15-1,2811,0.0125,Anc
F8,2-P2-T15-1,2811,0.00625,Anc
G8,2-P2-T15-1,2811,0.003125,Anc
H8,2-P2-T15-1,2811,0.0015625,Anc
A9,2-P2-T15-1,2811-P2-T15,undil,Contemp
B9,2-P2-T15-1,2811-P2-T15,undil,Contemp
C9,2-P2-T15-1,2811-P2-T15,-1,Contemp
D9,2-P2-T15-1,2811-P2-T15,-1,Contemp
E9,2-P2-T15-1,2811-P2-T15,-2,Contemp
F9,2-P2-T15-1,2811-P2-T15,-2,Contemp
G9,2-P2-T15-1,2811,0.00078125,Anc
H9,2-P2-T15-1,2811,0.00078125,Anc
A10,2-P2-T15-1,2811-P2-T15,undil,Contemp
B10,2-P2-T15-1,2811-P2-T15,undil,Contemp
C10,2-P2-T15-1,2811-P2-T15,-1,Contemp
D10,2-P2-T15-1,2811-P2-T15,-1,Contemp
E10,2-P2-T15-1,2811-P2-T15,-2,Contemp
F10,2-P2-T15-1,2811-P2-T15,-2,Contemp
G10,2-P2-T15-1,2811,0.00078125,Anc
H10,2-P2-T15-1,2811,0.00078125,Anc
A11,2-P2-T15-1,2811-P2-T15,undil,Contemp
B11,2-P2-T15-1,2811-P2-T15,undil,Contemp
C11,2-P2-T15-1,2811-P2-T15,-1,Contemp
D11,2-P2-T15-1,2811-P2-T15,-1,Contemp
E11,2-P2-T15-1,2811-P2-T15,-2,Contemp
F11,2-P2-T15-1,2811-P2-T15,-2,Contemp
G11,2-P2-T15-1,2811,0.00078125,Anc
H11,2-P2-T15-1,2811,0.00078125,Anc
A12,2-P2-T15-1,2811-P2-T15,undil,Contemp
B12,2-P2-T15-1,2811-P2-T15,undil,Contemp
C12,2-P2-T15-1,2811-P2-T15,-1,Contemp
D12,2-P2-T15-1,2811-P2-T15,-1,Contemp
E12,2-P2-T15-1,2811-P2-T15,-2,Contemp
F12,2-P2-T15-1,2811-P2-T15,-2,Contemp
G12,2-P2-T15-1,2811,0.00078125,Anc
H12,2-P2-T15-1,2811,0.00078125,Anc
