"","Time","Well","OD600","Bacteria","Phage","Dil","Status"
"1",0,"A1",0.095,"P1-T25-1-P","None","None","None"
"2",300,"A1",0.096,"P1-T25-1-P","None","None","None"
"3",600,"A1",0.097,"P1-T25-1-P","None","None","None"
"4",900,"A1",0.097,"P1-T25-1-P","None","None","None"
"5",1200,"A1",0.097,"P1-T25-1-P","None","None","None"
"6",1500,"A1",0.097,"P1-T25-1-P","None","None","None"
"7",1800,"A1",0.097,"P1-T25-1-P","None","None","None"
"8",2100,"A1",0.097,"P1-T25-1-P","None","None","None"
"9",2400,"A1",0.097,"P1-T25-1-P","None","None","None"
"10",2700,"A1",0.098,"P1-T25-1-P","None","None","None"
"11",3000,"A1",0.097,"P1-T25-1-P","None","None","None"
"12",3300,"A1",0.097,"P1-T25-1-P","None","None","None"
"13",3600,"A1",0.098,"P1-T25-1-P","None","None","None"
"14",3900,"A1",0.097,"P1-T25-1-P","None","None","None"
"15",4200,"A1",0.098,"P1-T25-1-P","None","None","None"
"16",4500,"A1",0.097,"P1-T25-1-P","None","None","None"
"17",4800,"A1",0.098,"P1-T25-1-P","None","None","None"
"18",5100,"A1",0.098,"P1-T25-1-P","None","None","None"
"19",5400,"A1",0.098,"P1-T25-1-P","None","None","None"
"20",5700,"A1",0.098,"P1-T25-1-P","None","None","None"
"21",6000,"A1",0.098,"P1-T25-1-P","None","None","None"
"22",6300,"A1",0.098,"P1-T25-1-P","None","None","None"
"23",6600,"A1",0.098,"P1-T25-1-P","None","None","None"
"24",6900,"A1",0.098,"P1-T25-1-P","None","None","None"
"25",7200,"A1",0.098,"P1-T25-1-P","None","None","None"
"26",7500,"A1",0.098,"P1-T25-1-P","None","None","None"
"27",7800,"A1",0.098,"P1-T25-1-P","None","None","None"
"28",8100,"A1",0.099,"P1-T25-1-P","None","None","None"
"29",8400,"A1",0.099,"P1-T25-1-P","None","None","None"
"30",8700,"A1",0.099,"P1-T25-1-P","None","None","None"
"31",9000,"A1",0.099,"P1-T25-1-P","None","None","None"
"32",9300,"A1",0.099,"P1-T25-1-P","None","None","None"
"33",9600,"A1",0.098,"P1-T25-1-P","None","None","None"
"34",9900,"A1",0.099,"P1-T25-1-P","None","None","None"
"35",10200,"A1",0.099,"P1-T25-1-P","None","None","None"
"36",10500,"A1",0.099,"P1-T25-1-P","None","None","None"
"37",10800,"A1",0.099,"P1-T25-1-P","None","None","None"
"38",11100,"A1",0.099,"P1-T25-1-P","None","None","None"
"39",11400,"A1",0.099,"P1-T25-1-P","None","None","None"
"40",11700,"A1",0.099,"P1-T25-1-P","None","None","None"
"41",12000,"A1",0.099,"P1-T25-1-P","None","None","None"
"42",12300,"A1",0.099,"P1-T25-1-P","None","None","None"
"43",12600,"A1",0.099,"P1-T25-1-P","None","None","None"
"44",12900,"A1",0.099,"P1-T25-1-P","None","None","None"
"45",13200,"A1",0.099,"P1-T25-1-P","None","None","None"
"46",13500,"A1",0.099,"P1-T25-1-P","None","None","None"
"47",13800,"A1",0.099,"P1-T25-1-P","None","None","None"
"48",14100,"A1",0.099,"P1-T25-1-P","None","None","None"
"49",14400,"A1",0.1,"P1-T25-1-P","None","None","None"
"50",14700,"A1",0.1,"P1-T25-1-P","None","None","None"
"51",15000,"A1",0.1,"P1-T25-1-P","None","None","None"
"52",15300,"A1",0.1,"P1-T25-1-P","None","None","None"
"53",15600,"A1",0.1,"P1-T25-1-P","None","None","None"
"54",15900,"A1",0.1,"P1-T25-1-P","None","None","None"
"55",16200,"A1",0.1,"P1-T25-1-P","None","None","None"
"56",16500,"A1",0.1,"P1-T25-1-P","None","None","None"
"57",16800,"A1",0.1,"P1-T25-1-P","None","None","None"
"58",17100,"A1",0.1,"P1-T25-1-P","None","None","None"
"59",17400,"A1",0.1,"P1-T25-1-P","None","None","None"
"60",17700,"A1",0.1,"P1-T25-1-P","None","None","None"
"61",18000,"A1",0.1,"P1-T25-1-P","None","None","None"
"62",18300,"A1",0.1,"P1-T25-1-P","None","None","None"
"63",18600,"A1",0.1,"P1-T25-1-P","None","None","None"
"64",18900,"A1",0.101,"P1-T25-1-P","None","None","None"
"65",19200,"A1",0.101,"P1-T25-1-P","None","None","None"
"66",19500,"A1",0.1,"P1-T25-1-P","None","None","None"
"67",19800,"A1",0.1,"P1-T25-1-P","None","None","None"
"68",20100,"A1",0.101,"P1-T25-1-P","None","None","None"
"69",20400,"A1",0.1,"P1-T25-1-P","None","None","None"
"70",20700,"A1",0.101,"P1-T25-1-P","None","None","None"
"71",21000,"A1",0.101,"P1-T25-1-P","None","None","None"
"72",21300,"A1",0.101,"P1-T25-1-P","None","None","None"
"73",21600,"A1",0.101,"P1-T25-1-P","None","None","None"
"74",21900,"A1",0.101,"P1-T25-1-P","None","None","None"
"75",22200,"A1",0.101,"P1-T25-1-P","None","None","None"
"76",22500,"A1",0.102,"P1-T25-1-P","None","None","None"
"77",22800,"A1",0.101,"P1-T25-1-P","None","None","None"
"78",23100,"A1",0.101,"P1-T25-1-P","None","None","None"
"79",23400,"A1",0.101,"P1-T25-1-P","None","None","None"
"80",23700,"A1",0.102,"P1-T25-1-P","None","None","None"
"81",24000,"A1",0.102,"P1-T25-1-P","None","None","None"
"82",24300,"A1",0.102,"P1-T25-1-P","None","None","None"
"83",24600,"A1",0.101,"P1-T25-1-P","None","None","None"
"84",24900,"A1",0.102,"P1-T25-1-P","None","None","None"
"85",25200,"A1",0.102,"P1-T25-1-P","None","None","None"
"86",25500,"A1",0.102,"P1-T25-1-P","None","None","None"
"87",25800,"A1",0.101,"P1-T25-1-P","None","None","None"
